Age,2,3,Education,5,Marital-Status,Occupation,8,Race,10,11,12,13,14,15
40=50, Private,38397,High School,9,Unmarried, Other-service, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
50-64, Self-emp-inc,189183,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Local-gov,199281,University Education,13,Unmarried, Prof-specialty, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,286342,High School,9,Unmarried, Machine-op-inspct, Not-in-family,Major Races, Female,0,0,38, United-States, <=50K
40=50, Private,152810,University Education,13,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Self-emp-inc,176981,University Education,13,Single, Adm-clerical, Own-child,Major Races, Female,0,0,50, United-States, <=50K
10-20, Private,117549,High School,6,Single, Sales, Other-relative,Major Races, Female,0,0,12, United-States, <=50K
50-64, Private,254797,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,133336,High School,9,Married, Tech-support, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Self-emp-not-inc,182826,High School,9,Married, Prof-specialty, Husband,Major Races, Male,0,0,35, United-States, <=50K
50-64, Private,136224,University Education,13,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
30-40, Self-emp-not-inc,134475,University Education,13,Unmarried, Adm-clerical, Not-in-family,Major Races, Male,0,1762,40, United-States, <=50K
40=50, Private,272778,University Education,10,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,32, United-States, <=50K
40=50, Private,279183,University Education,10,Married, Other-service, Own-child,Major Races, Female,0,0,40, United-States, >50K
40=50, Private,110243,High School,7,Married, Other-service, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,202071,High School,9,Unmarried, Craft-repair, Own-child,Major Races, Female,0,0,40, United-States, <=50K
50-64, Private,197642,University Education,10,Single, Adm-clerical, Not-in-family,Major Races, Female,0,0,39, United-States, <=50K
10-20, Private,125591,High School,7,Single, Other-service, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,197462,University Education,13,Married, Tech-support, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Private,238831,University Education,10,Single, Adm-clerical, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,182177,University Education,13,Married, Other-service, Husband,Major Races, Male,0,0,40, Yugoslavia, <=50K
30-40, Local-gov,240504,University Education,12,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, >50K
40=50, Self-emp-inc,125892,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,38, United-States, >50K
40=50, Private,154430,University Education,14,Unmarried, Exec-managerial, Not-in-family,Major Races, Female,0,0,50, United-States, >50K
30-40, Private,207685,High School,9,Married, Handlers-cleaners, Wife,Major Races, Female,3908,0,40, United-States, <=50K
40=50, Private,222020,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,243240,High School,9,Single, Machine-op-inspct, Not-in-family,Major Races, Male,0,0,37, United-States, <=50K
20-30, Private,158734,University Education,14,Single, Exec-managerial, Not-in-family,Major Races, Female,0,0,30, United-States, <=50K
30-40, Private,257691,University Education,13,Single, Sales, Not-in-family,Major Races, Female,0,0,20, United-States, <=50K
20-30, Private,144483,Trade School,11,Unmarried, Sales, Own-child,Major Races, Female,594,0,35, United-States, <=50K
10-20, Private,209826,University Education,10,Single, Sales, Own-child,Major Races, Female,0,0,15, United-States, <=50K
50-64, Private,30244,University Education,12,Married, Exec-managerial, Husband,Major Races, Male,15024,0,40, United-States, >50K
50-64, Private,133050,University Education,10,Single, Sales, Not-in-family,Major Races, Male,0,0,41, United-States, <=50K
20-30, Private,138332,University Education,10,Married, Adm-clerical, Own-child,Major Races, Female,0,0,6, United-States, <=50K
65-max, Private,201398,University Education,14,Unmarried, Prof-specialty, Unmarried,Major Races, Male,0,0,60, ?, <=50K
30-40, Private,526968,University Education,14,Single, Prof-specialty, Not-in-family,Major Races, Female,0,0,38, United-States, >50K
30-40, Private,79036,Trade School,11,Unmarried, Transport-moving, Not-in-family,Major Races, Male,0,0,50, United-States, >50K
30-40, Private,240323,University Education,10,Unmarried, Adm-clerical, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
10-20, Private,270544,High School,8,Single, Adm-clerical, Own-child,Major Races, Female,0,0,30, United-States, <=50K
40=50, State-gov,199551,High School,7,Unmarried, Tech-support, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,231052,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,35, United-States, <=50K
65-max, State-gov,203072,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,0,0,50, United-States, >50K
10-20, Private,126771,High School,8,Single, Prof-specialty, Own-child,Major Races, Male,0,0,7, United-States, <=50K
30-40, Private,31848,Trade School,11,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Private,328981,High School,9,Single, Machine-op-inspct, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,159670,University Education,12,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,450695,University Education,12,Single, Sales, Not-in-family,Major Races, Male,0,0,35, United-States, <=50K
50-64, Private,182028,University Education,13,Married, Exec-managerial, Wife,Major Races, Female,0,0,40, United-States, <=50K
10-20, Private,349620,High School,6,Single, Machine-op-inspct, Own-child,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,161066,High School,9,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,0,50, United-States, <=50K
40=50, Private,213611,Elementary,4,Unmarried, Priv-house-serv, Unmarried,Major Races, Female,0,1594,24, Guatemala, <=50K
20-30, Private,548303,High School,9,Married, Prof-specialty, Own-child,Major Races, Male,0,0,40, Mexico, >50K
20-30, Private,150861,University Education,10,Single, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, Japan, <=50K
30-40, ?,335625,University Education,10,Unmarried, ?, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,133766,High School,9,Married, Farming-fishing, Husband,Major Races, Male,0,0,70, United-States, <=50K
20-30, Private,200511,High School,9,Unmarried, Farming-fishing, Not-in-family,Major Races, Male,0,0,55, United-States, <=50K
20-30, Private,50103,University Education,10,Married, Sales, Wife,Major Races, Female,0,0,40, United-States, <=50K
30-40, ?,148266,Trade School,15,Married, ?, Husband,Major Races, Male,0,0,6, Mexico, <=50K
40=50, Private,177211,University Education,13,Married, Other-service, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,132686,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,55, United-States, <=50K
50-64, Federal-gov,21626,University Education,10,Unmarried, Other-service, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,52900,Elementary,4,Married, Transport-moving, Husband,Major Races, Male,0,0,40, United-States, <=50K
10-20, ?,150084,High School,9,Single, ?, Own-child,Major Races, Male,0,0,25, United-States, <=50K
30-40, Private,248886,High School,9,Married, Adm-clerical, Husband,Major Races, Male,0,0,42, United-States, <=50K
50-64, Self-emp-not-inc,118259,High School,9,Married, Craft-repair, Husband,Major Races, Male,3137,0,60, United-States, <=50K
50-64, Private,145493,University Education,10,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,219546,University Education,13,Married, Exec-managerial, Other-relative,Major Races, Male,3411,0,47, United-States, <=50K
40=50, Federal-gov,399155,High School,9,Single, Craft-repair, Own-child,Major Races, Female,0,0,40, United-States, <=50K
10-20, Self-emp-not-inc,227310,University Education,10,Single, Other-service, Own-child,Major Races, Female,0,0,25, United-States, <=50K
50-64, Private,333270,University Education,14,Married, Craft-repair, Wife,Major Races, Female,0,0,35, Philippines, <=50K
40=50, Private,231495,High School,9,Married, Other-service, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Federal-gov,133935,University Education,13,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
40=50, Federal-gov,55237,University Education,10,Unmarried, Machine-op-inspct, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
10-20, Private,183034,University Education,10,Single, Sales, Own-child,Major Races, Male,0,0,35, United-States, <=50K
30-40, Private,245487,Elementary,3,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, Mexico, <=50K
30-40, Private,185480,Trade School,11,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,114251,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Private,181814,High School,9,Single, Craft-repair, Other-relative,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,340917,University Education,14,Married, Exec-managerial, Husband,Major Races, Male,15024,0,60, United-States, >50K
30-40, Private,241998,University Education,13,Married, Tech-support, Husband,Major Races, Male,0,1977,40, United-States, >50K
30-40, Self-emp-inc,125324,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,80, United-States, >50K
30-40, Private,34744,University Education,12,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,37, United-States, <=50K
50-64, Private,131608,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, >50K
30-40, Federal-gov,226916,University Education,13,Unmarried, Adm-clerical, Not-in-family,Major Races, Male,0,0,40, United-States, >50K
50-64, Private,124137,High School,9,Unmarried, Adm-clerical, Not-in-family,Major Races, Male,0,0,41, United-States, <=50K
10-20, Private,96282,High School,6,Single, Other-service, Own-child,Major Races, Male,0,0,14, United-States, <=50K
40=50, Private,337050,University Education,14,Married, Exec-managerial, Husband,Major Races, Male,0,1977,45, United-States, >50K
50-64, Private,229335,High School,9,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
50-64, State-gov,199495,High School,8,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,111675,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,43, United-States, <=50K
20-30, Private,139209,High School,9,Single, Machine-op-inspct, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
40=50, Self-emp-not-inc,32372,High School,9,Married, Farming-fishing, Husband,Major Races, Male,0,0,30, United-States, <=50K
30-40, Self-emp-not-inc,203784,Trade School,11,Married, Farming-fishing, Husband,Major Races, Male,0,0,62, United-States, <=50K
30-40, Private,164190,Trade School,11,Married, Craft-repair, Husband,Major Races, Male,7298,0,40, United-States, >50K
30-40, Private,64875,University Education,10,Single, Farming-fishing, Unmarried,Major Races, Male,0,0,60, United-States, <=50K
50-64, Private,41806,High School,7,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,208725,University Education,12,Single, Sales, Not-in-family,Major Races, Male,0,0,42, United-States, <=50K
40=50, Local-gov,79019,University Education,14,Unmarried, Prof-specialty, Unmarried,Major Races, Female,0,0,16, United-States, <=50K
20-30, Private,136951,High School,9,Unmarried, Machine-op-inspct, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,203554,University Education,14,Married, Exec-managerial, Husband,Major Races, Male,0,0,60, United-States, >50K
30-40, Private,252947,University Education,13,Single, Machine-op-inspct, Not-in-family,Major Races, Male,0,1719,32, United-States, <=50K
30-40, Private,170861,University Education,10,Single, Adm-clerical, Own-child,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,199590,High School,9,Married, Other-service, Husband,Major Races, Male,0,0,40, Mexico, >50K
40=50, Private,529216,University Education,13,Unmarried, Tech-support, Unmarried,Major Races, Male,7430,0,45, ?, >50K
30-40, Private,195576,High School,9,Married, Exec-managerial, Husband,Major Races, Male,4386,0,60, United-States, <=50K
20-30, Private,182177,High School,9,Single, Other-service, Not-in-family,Major Races, Male,0,0,40, Ireland, <=50K
20-30, State-gov,183678,University Education,13,Single, Prof-specialty, Not-in-family,Major Races, Female,0,0,50, United-States, <=50K
40=50, Private,209320,University Education,13,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Self-emp-inc,206862,High School,9,Married, Exec-managerial, Husband,Major Races, Male,0,0,36, United-States, >50K
30-40, Private,168941,High School,7,Unmarried, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
50-64, Self-emp-not-inc,201263,University Education,13,Married, Sales, Husband,Major Races, Male,15024,0,55, United-States, >50K
10-20, Private,75333,High School,6,Single, Sales, Own-child,Major Races, Female,0,0,24, United-States, <=50K
65-max, ?,299494,High School,7,Married, ?, Husband,Major Races, Male,1797,0,40, United-States, <=50K
50-64, Self-emp-not-inc,163212,High School,9,Unmarried, Adm-clerical, Unmarried,Major Races, Female,99999,0,40, United-States, >50K
50-64, Private,139290,High School,9,Unmarried, Other-service, Not-in-family,Major Races, Male,0,0,38, United-States, <=50K
30-40, Private,400416,High School,6,Single, Other-service, Own-child,Major Races, Male,0,0,20, United-States, <=50K
40=50, Self-emp-not-inc,223763,University Education,14,Married, Craft-repair, Husband,Major Races, Male,0,0,65, United-States, <=50K
40=50, Private,77927,University Education,13,Unmarried, Other-service, Own-child,Major Races, Female,0,0,40, Philippines, <=50K
40=50, Private,175804,High School,9,Married, Sales, Husband,Major Races, Male,0,0,48, United-States, <=50K
10-20, Private,91525,High School,9,Single, Sales, Other-relative,Major Races, Male,0,0,25, United-States, <=50K
10-20, Private,279968,University Education,10,Single, Adm-clerical, Own-child,Major Races, Female,0,0,20, United-States, <=50K
20-30, Private,77698,University Education,10,Married, Prof-specialty, Wife,Major Races, Female,0,0,40, United-States, <=50K
50-64, ?,198686,University Education,12,Married, ?, Husband,Major Races, Male,0,0,2, United-States, >50K
65-max, ?,190340,High School,7,Married, ?, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,113491,University Education,10,Married, Prof-specialty, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Private,202878,High School,9,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,50, United-States, <=50K
20-30, Private,108431,University Education,10,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,194490,High School,9,Unmarried, Adm-clerical, Unmarried,Major Races, Female,0,0,38, United-States, <=50K
30-40, Private,48093,University Education,13,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,90, United-States, >50K
20-30, Private,136824,High School,7,Single, Adm-clerical, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,143280,High School,6,Single, Priv-house-serv, Own-child,Major Races, Female,0,0,24, United-States, <=50K
20-30, Private,150062,High School,9,Married, Sales, Husband,Major Races, Male,0,0,50, United-States, <=50K
20-30, Local-gov,298510,High School,9,Unmarried, Protective-serv, Own-child,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,177147,University Education,13,Single, Adm-clerical, Not-in-family,Major Races, Male,6849,0,65, United-States, <=50K
50-64, Private,115025,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,350440,High School,9,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Private,83850,High School,9,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,62669,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,55, United-States, >50K
20-30, Private,229773,High School,9,Single, Machine-op-inspct, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Local-gov,196234,High School,9,Unmarried, Craft-repair, Own-child,Major Races, Female,0,0,40, Puerto-Rico, <=50K
65-max, ?,163595,High School,9,Unmarried, ?, Not-in-family,Major Races, Female,0,0,20, United-States, <=50K
40=50, Private,157249,University Education,13,Married, Prof-specialty, Husband,Major Races, Male,0,1977,50, United-States, >50K
65-max, Private,80174,High School,9,Unmarried, Exec-managerial, Other-relative,Major Races, Female,1848,0,50, United-States, <=50K
50-64, Self-emp-inc,49069,University Education,10,Married, Adm-clerical, Wife,Major Races, Female,0,0,40, United-States, >50K
30-40, Private,122952,High School,9,Unmarried, Craft-repair, Unmarried,Major Races, Female,0,0,35, United-States, <=50K
10-20, Private,123856,High School,7,Single, Sales, Own-child,Major Races, Female,0,0,49, United-States, <=50K
20-30, Private,216181,Trade School,11,Single, Machine-op-inspct, Own-child,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,180062,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,60, United-States, <=50K
20-30, Private,188535,High School,9,Single, Machine-op-inspct, Not-in-family,Major Races, Male,0,0,44, United-States, <=50K
65-max, Self-emp-not-inc,106143,University Education,16,Married, Sales, Husband,Major Races, Male,20051,0,40, United-States, >50K
50-64, Self-emp-not-inc,170421,University Education,10,Unmarried, Craft-repair, Not-in-family,Major Races, Female,0,0,8, United-States, <=50K
20-30, Private,283087,University Education,10,Single, Exec-managerial, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Federal-gov,341051,University Education,14,Married, Adm-clerical, Husband,Major Races, Male,0,0,50, United-States, >50K
30-40, Self-emp-not-inc,34378,High School,9,Married, Farming-fishing, Husband,Major Races, Male,0,0,50, United-States, <=50K
20-30, Private,380674,High School,9,Single, Handlers-cleaners, Own-child,Major Races, Male,0,0,52, United-States, <=50K
10-20, Private,304469,High School,6,Single, Farming-fishing, Own-child,Major Races, Male,0,0,25, United-States, <=50K
30-40, Private,99146,High School,9,Married, Exec-managerial, Husband,Major Races, Male,0,0,50, United-States, >50K
20-30, Private,205109,University Education,14,Single, Prof-specialty, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,99156,High School,9,Unmarried, Other-service, Own-child,Major Races, Male,0,0,35, United-States, <=50K
40=50, Private,97842,University Education,10,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,65, United-States, <=50K
10-20, Private,100875,High School,7,Single, Other-service, Unmarried,Major Races, Female,0,0,28, United-States, <=50K
50-64, Private,200576,University Education,10,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,63, United-States, <=50K
30-40, Private,355053,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,28, United-States, <=50K
10-20, Private,118376,University Education,10,Single, Other-service, Own-child,Major Races, Female,0,0,16, ?, <=50K
30-40, Local-gov,117760,Trade School,11,Single, Protective-serv, Not-in-family,Major Races, Male,4650,0,40, United-States, <=50K
30-40, Private,117567,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,60, United-States, >50K
30-40, Federal-gov,189632,High School,9,Married, Adm-clerical, Wife,Major Races, Female,0,0,40, United-States, >50K
20-30, Private,170108,University Education,10,Single, Other-service, Own-child,Major Races, Male,0,0,40, United-States, <=50K
40=50, State-gov,27243,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,7688,0,45, United-States, >50K
30-40, Private,192663,High School,9,Unmarried, Sales, Not-in-family,Major Races, Female,0,0,35, United-States, <=50K
20-30, Private,526164,University Education,13,Single, Adm-clerical, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
50-64, Self-emp-not-inc,146579,High School,9,Unmarried, Sales, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,60288,High School,9,Single, Adm-clerical, Own-child,Major Races, Female,0,0,40, United-States, <=50K
20-30, State-gov,241951,University Education,10,Single, Prof-specialty, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
40=50, Self-emp-inc,213140,University Education,10,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, >50K
10-20, Private,218124,High School,7,Single, Sales, Own-child,Major Races, Female,0,0,20, United-States, <=50K
20-30, Self-emp-not-inc,279802,University Education,10,Single, Prof-specialty, Own-child,Major Races, Female,0,0,3, United-States, <=50K
20-30, Private,153078,High School,9,Single, Adm-clerical, Own-child,Major Races, Male,0,0,80, ?, >50K
30-40, Private,167919,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
65-max, Private,250832,High School,6,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,193158,High School,9,Unmarried, Sales, Own-child,Major Races, Female,0,0,40, United-States, <=50K
40=50, Private,172032,High School,9,Married, Transport-moving, Husband,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,39484,University Education,13,Married, Other-service, Husband,Major Races, Male,7298,0,42, United-States, >50K
40=50, Private,84298,Trade School,11,Married, Exec-managerial, Husband,Major Races, Male,0,1977,50, United-States, >50K
40=50, Private,269015,High School,9,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, Germany, >50K
10-20, ?,262196,High School,6,Single, ?, Own-child,Major Races, Male,0,0,8, United-States, <=50K
40=50, Federal-gov,125892,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,40, United-States, >50K
20-30, Private,134890,University Education,13,Single, Tech-support, Own-child,Major Races, Male,0,0,50, United-States, <=50K
50-64, Self-emp-not-inc,261119,High School,9,Unmarried, Craft-repair, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,119409,High School,9,Married, Machine-op-inspct, Wife,Other, Female,0,0,40, Columbia, <=50K
50-64, Self-emp-not-inc,118793,High School,6,Married, Craft-repair, Husband,Major Races, Male,0,0,50, United-States, >50K
10-20, Private,184207,University Education,10,Single, Sales, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
20-30, Self-emp-not-inc,191027,High School,9,Unmarried, Farming-fishing, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,207782,University Education,12,Single, Handlers-cleaners, Own-child,Major Races, Male,0,0,20, United-States, <=50K
40=50, Self-emp-not-inc,209146,High School,9,Married, Transport-moving, Husband,Major Races, Male,0,0,60, United-States, <=50K
65-max, ?,79445,High School,6,Married, ?, Husband,Major Races, Male,1173,0,40, United-States, <=50K
10-20, Private,187724,University Education,10,Single, Other-service, Own-child,Major Races, Female,0,0,25, United-States, <=50K
20-30, Private,66777,Trade School,11,Married, Other-service, Other-relative,Major Races, Female,3137,0,40, United-States, <=50K
50-64, Private,158002,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, <=50K
10-20, Self-emp-not-inc,305834,University Education,10,Single, Craft-repair, Own-child,Major Races, Female,0,0,25, United-States, <=50K
30-40, ?,122265,High School,9,Unmarried, ?, Not-in-family,Major Races, Female,0,0,42, ?, <=50K
20-30, Private,211798,University Education,10,Single, Craft-repair, Own-child,Major Races, Male,0,0,40, United-States, <=50K
50-64, Self-emp-not-inc,123011,Trade School,15,Married, Prof-specialty, Husband,Major Races, Male,0,0,50, United-States, >50K
30-40, Private,36302,University Education,13,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,50, United-States, <=50K
40=50, Self-emp-not-inc,176867,University Education,16,Married, Prof-specialty, Husband,Major Races, Male,3781,0,40, United-States, <=50K
50-64, Private,169204,High School,9,Unmarried, Craft-repair, Unmarried,Major Races, Male,0,0,40, United-States, <=50K
20-30, Private,38232,University Education,13,Single, Prof-specialty, Not-in-family,Major Races, Male,0,0,50, United-States, <=50K
50-64, State-gov,277657,High School,9,Unmarried, Adm-clerical, Not-in-family,Major Races, Female,0,0,24, United-States, <=50K
30-40, Private,32271,University Education,10,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, <=50K
40=50, Private,116825,Trade School,15,Married, Prof-specialty, Husband,Major Races, Male,15024,0,80, United-States, >50K
20-30, Self-emp-not-inc,226198,High School,9,Unmarried, Exec-managerial, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
10-20, Private,28145,High School,9,Single, Other-service, Own-child,Major Races, Female,0,0,52, United-States, <=50K
30-40, Private,140477,High School,9,Single, Machine-op-inspct, Not-in-family,Major Races, Female,0,0,10, United-States, <=50K
40=50, Private,165050,High School,6,Married, Craft-repair, Husband,Major Races, Male,0,0,40, United-States, >50K
30-40, Self-emp-inc,202937,University Education,14,Married, Prof-specialty, Wife,Major Races, Female,0,0,40, United-States, >50K
30-40, Private,316298,University Education,13,Single, Tech-support, Own-child,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,203070,Trade School,11,Married, Handlers-cleaners, Husband,Major Races, Male,0,0,49, United-States, <=50K
50-64, Self-emp-inc,103995,University Education,12,Single, Sales, Not-in-family,Major Races, Female,0,0,25, United-States, <=50K
20-30, Private,176137,High School,9,Single, Other-service, Own-child,Major Races, Female,0,0,32, United-States, <=50K
50-64, Self-emp-not-inc,103948,Trade School,15,Married, Prof-specialty, Husband,Major Races, Male,0,0,30, United-States, >50K
30-40, Local-gov,39581,Trade School,15,Unmarried, Prof-specialty, Own-child,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,506436,University Education,10,Unmarried, Sales, Unmarried,Major Races, Female,0,0,40, Peru, <=50K
30-40, Private,226975,University Education,10,Single, Sales, Own-child,Major Races, Male,0,1876,60, United-States, <=50K
40=50, State-gov,154493,High School,9,Unmarried, Exec-managerial, Unmarried,Major Races, Female,0,0,44, United-States, <=50K
30-40, Self-emp-not-inc,137223,High School,6,Single, Other-service, Own-child,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,102323,High School,9,Single, Machine-op-inspct, Own-child,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,257765,Elementary,4,Unmarried, Machine-op-inspct, Not-in-family,Major Races, Male,0,0,40, Guatemala, <=50K
50-64, Private,42924,High School,8,Married, Craft-repair, Husband,Major Races, Male,0,0,45, United-States, <=50K
40=50, Private,167599,High School,7,Married, Handlers-cleaners, Wife,Major Races, Female,0,0,25, United-States, <=50K
65-max, ?,368925,Elementary,3,Unmarried, ?, Not-in-family,Major Races, Male,0,0,15, United-States, <=50K
65-max, ?,100881,University Education,12,Married, ?, Wife,Major Races, Female,0,0,2, United-States, >50K
30-40, Private,52738,University Education,10,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,46, United-States, <=50K
50-64, Private,98418,High School,9,Unmarried, Transport-moving, Not-in-family,Major Races, Male,0,0,30, United-States, <=50K
20-30, Private,381153,High School,9,Single, Craft-repair, Not-in-family,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,103700,High School,9,Unmarried, Other-service, Unmarried,Major Races, Female,0,0,40, United-States, <=50K
30-40, Private,298635,University Education,13,Single, Sales, Not-in-family,Major Races, Male,0,0,50, United-States, <=50K
30-40, Private,127895,University Education,10,Single, Adm-clerical, Own-child,Major Races, Female,0,0,40, United-States, <=50K
40=50, Self-emp-inc,212760,University Education,13,Married, Exec-managerial, Husband,Major Races, Male,0,0,60, United-States, >50K
30-40, Private,281384,High School,9,Married, Other-service, Other-relative,Major Races, Female,0,0,10, United-States, <=50K
50-64, Private,181200,High School,8,Married, Adm-clerical, Husband,Major Races, Male,0,0,40, United-States, <=50K
30-40, Private,257364,University Education,10,Unmarried, Other-service, Not-in-family,Major Races, Male,0,0,45, United-States, <=50K
40=50, Private,283281,Elementary,4,Married, Machine-op-inspct, Husband,Major Races, Male,0,0,40, United-States, <=50K
50-64, Private,214502,High School,5,Married, Handlers-cleaners, Husband,Major Races, Male,0,0,50, United-States, >50K
40=50, Private,69333,High School,9,Married, Craft-repair, Husband,Major Races, Male,0,0,45, United-States, >50K
20-30, Private,190060,High School,9,Married, Sales, Husband,Major Races, Male,0,0,40, United-States, >50K
50-64, Private,95864,High School,9,Single, Adm-clerical, Other-relative,Major Races, Male,0,0,35, United-States, <=50K
65-max, ?,144872,University Education,10,Married, ?, Husband,Major Races, Male,6514,0,40, United-States, >50K
10-20, ?,275778,High School,5,Single, ?, Own-child,Major Races, Female,0,0,25, Mexico, <=50K
40=50, Private,27332,High School,9,Unmarried, Sales, Not-in-family,Major Races, Female,0,0,40, United-States, <=50K
20-30, Private,24395,High School,9,Single, Handlers-cleaners, Own-child,Major Races, Female,0,0,30, United-States, <=50K
20-30, Private,330695,University Education,10,Married, Sales, Husband,Major Races, Male,0,0,50, United-States, <=50K
